OTU_ID	N_01	N_02	N_03	N_04	N_05	N_06	N_07	N_08	N_09	N_10	N_11	N_12	N_13	N_14	N_15	N_16	N_17	N_18	N_19	N_20	N_21	N_22	N_23	N_24	N_25	N_26	N_27	N_28	N_29	N_30	N_31	N_32	N_33	N_34	N_35	N_36	N_37	N_38	N_39	N_40	T_01	T_02	T_03	T_04	T_05	T_06	T_07	T_08	T_09	T_10	T_11	T_12	T_13	T_14	T_15	T_16	T_17	T_18	T_19	T_20	T_21	T_22	T_23	T_24	T_25	T_26	T_27	T_28	T_29	T_30	T_31	T_32	T_33	T_34	T_35	T_36	T_37	T_38	T_39	T_40
927997a1464cf7f6d013c6d651b72342	216	185	55	304	181	209	192	266	249	104	325	0	433	0	326	458	13	0	282	0	78	369	527	0	114	594	97	451	0	441	27	164	56	0	102	0	456	150	297	473	535	679	93	0	104	114	213	472	118	342	45	189	0	0	153	0	715	707	45	0	0	323	207	299	141	271	9	0	125	226	35	83	0	232	145	398	0	0	72	50
484807660869392419d1a653953d6b57	280	139	70	228	213	159	136	175	215	143	236	71	285	0	265	440	16	0	207	0	49	336	388	0	189	423	95	575	0	401	16	251	115	0	133	0	555	109	191	436	305	544	92	0	145	108	159	347	92	261	44	237	0	0	97	0	456	553	64	0	0	303	255	408	0	239	5	0	193	197	69	95	81	293	103	363	0	94	96	93
3e431478c51e719a1df2acb4ad2028e6	549	298	47	355	186	283	213	422	199	141	321	76	672	13	665	267	43	0	441	0	45	621	821	0	272	630	339	723	0	408	0	127	66	0	240	0	1019	474	533	571	786	685	332	25	173	126	339	539	145	429	102	311	8	0	359	0	810	486	137	0	0	816	371	291	188	326	5	0	213	387	77	99	100	633	183	591	30	92	131	94
4c81e93cdff2104238a5056d08d378dc	446	149	107	241	131	171	134	354	119	266	184	61	395	16	509	205	51	0	384	0	48	511	615	0	393	513	277	1004	0	492	0	242	211	0	155	0	758	415	414	435	496	464	232	29	123	64	274	634	139	323	89	412	0	0	213	0	638	360	201	0	0	548	422	471	134	432	3	0	165	254	167	113	135	746	166	540	23	223	135	224
e13fc505511c2eb75615a0d87533e8d4	241	130	70	151	196	153	168	207	97	98	382	53	450	535	169	484	7	4	213	36	322	468	457	0	249	452	302	503	0	530	0	185	57	0	213	0	333	126	445	630	598	651	320	39	174	168	246	343	114	283	66	301	3	205	187	0	522	338	103	10	0	875	305	236	160	243	9	0	150	407	101	125	51	367	335	388	41	50	199	76
75723d3a69238b849965764a9fa643aa	388	91	47	199	134	179	124	435	67	94	244	15	458	0	381	226	0	0	79	0	99	352	458	0	207	310	322	212	0	222	0	124	67	0	218	0	272	231	232	423	478	92	310	0	158	11	151	527	87	315	82	207	0	0	184	0	534	285	63	0	0	642	324	230	129	224	0	0	122	91	48	82	60	203	97	184	0	43	131	34
b589a3abb0b0063a53857c287f370d6d	125	7	0	0	0	125	34	26	136	0	205	6	121	0	144	0	0	0	9	0	43	68	26	34	71	150	51	321	0	195	0	34	10	0	54	0	209	3	11	52	0	82	41	0	17	37	52	189	63	40	15	73	0	0	63	0	100	265	0	0	0	163	10	32	44	101	0	5	0	0	16	16	20	83	65	58	0	11	9	15
99bd2fab67760ee5c859c30ef691eec1	289	89	92	108	175	128	184	301	134	174	290	50	324	621	139	360	7	1	129	58	184	373	304	0	210	582	262	548	3	494	0	248	152	0	123	0	415	159	255	469	340	516	198	20	117	107	193	274	66	252	54	375	0	202	151	0	375	263	86	0	0	612	275	281	99	288	6	0	115	323	177	79	115	460	244	321	25	92	283	112
b2e541d19af9895b600b3cca9a88e917	276	60	92	133	151	155	81	374	50	148	163	26	311	0	303	167	0	0	68	0	86	247	323	0	312	362	241	401	0	379	0	187	125	0	149	0	331	160	120	273	283	144	272	0	152	20	122	309	49	206	79	156	0	0	119	0	417	224	87	0	0	546	427	333	88	367	4	0	138	58	129	37	72	245	92	144	0	105	117	67
11746867689a8c44608c97f2eaeb27aa	96	46	26	201	0	42	47	51	49	0	78	76	49	0	56	8	0	0	0	0	65	17	341	0	50	215	45	124	0	51	0	74	0	0	148	0	210	124	195	487	162	198	35	0	5	40	129	34	25	56	0	109	0	0	2	4	145	224	19	0	0	171	90	32	35	39	0	0	76	82	2	33	25	233	40	147	80	8	35	21
cd58b373cf15e9bcf7d8f4588effdc56	232	93	19	129	0	113	48	32	108	0	0	0	175	19	90	148	7	0	123	0	60	444	244	0	56	106	147	172	0	104	0	29	0	0	0	0	0	177	58	203	174	234	100	0	73	0	0	269	74	57	46	0	0	0	75	0	256	205	0	0	29	147	61	42	23	30	0	0	0	93	0	55	0	76	71	115	29	0	0	10
6a389f916f69417aea2795460a3539f6	146	36	19	58	0	9	55	114	56	47	122	14	56	0	14	0	0	0	73	0	10	123	64	40	18	34	117	172	171	200	0	35	0	0	113	0	0	120	52	148	141	184	63	0	46	48	85	11	27	92	2	100	0	0	47	0	322	200	0	0	0	0	110	83	0	53	0	7	122	57	0	32	5	110	0	81	0	19	17	7
63b0d1527fd19d09be250b7db167c18f	621	128	371	476	342	53	72	154	238	425	217	164	228	570	274	342	467	148	467	376	244	429	381	542	1740	1438	352	1360	65	787	672	2001	365	992	725	381	1587	463	178	390	56	193	507	874	44	14	1058	180	467	850	44	109	240	245	367	508	65	176	388	268	798	526	2262	1409	149	1097	31	593	1814	949	189	1926	304	1947	152	478	507	408	645	169
741154fec2ae1abf523151aeca673395	140	40	22	64	19	40	29	21	27	39	48	0	88	0	20	236	0	0	97	0	34	300	266	0	77	195	5	242	3	202	0	32	1	0	40	0	76	213	102	176	306	142	23	0	0	0	127	125	71	151	32	74	0	10	56	0	129	160	4	0	0	133	50	64	0	61	0	0	92	0	35	26	24	115	188	148	0	16	30	9
