ASV_ID	Unique_identifiers	Taxon
ASV_0001	ccaaa7637991cf68d4da447d05564c07	k__Bacteria
ASV_0002	e7346387c85ccf9839042b181c70c1aa	k__Bacteria
ASV_0003	4cbd887b64464368c0b94dc09dbc3f0b	k__Bacteria
ASV_0004	ecee0c77370c7e6f863c61d69d77f3d5	k__Bacteria
ASV_0005	f021174411f9b2e4dcf69ce6db2754ec	k__Bacteria
ASV_0006	65a2312232a262a76414d4494200fd12	k__Bacteria
ASV_0007	c3656a4484f320641d41a22c60e165ba	k__Bacteria
ASV_0008	98be6e8c7372608db22a112c14d063c5	k__Bacteria
ASV_0009	247f85146570f4b7843bb674508c7f04	k__Bacteria
ASV_0010	2fe446b5a50641a0e8b569a3123933ce	k__Bacteria
ASV_0011	65e4eb6cfdf65d0b874199914ca3cd81	k__Bacteria
ASV_0012	4fd1eb1e560948bd96cde12b9f57fa2a	k__Bacteria
ASV_0013	9b6cda753b9d4297c19dd385faccc805	k__Bacteria
ASV_0014	825056f93bffd705ff4b97c7780814bd	k__Bacteria
ASV_0015	90f2967138e9ecd2af1df0bb13e0bbe1	k__Bacteria
ASV_0016	cc4cfc5eb520940c5ba37d61b1588648	k__Bacteria
ASV_0017	10a6dca4cf7ebac434c22e5f1ea88092	k__Bacteria
ASV_0018	569470b2de5e9ccdd933b7dcf2c9510e	k__Bacteria
ASV_0019	b99482393be928615a069dd18b4bd24d	k__Bacteria
ASV_0020	a112bd265202b153eff0d8f0fe6f090c	k__Bacteria
ASV_0021	9e2f6b376fbf2054bcc6acdf50131cee	k__Bacteria
ASV_0022	2dd2e9c9f241e20d0089643032b90483	k__Bacteria
ASV_0023	6068379e6892867c520418d8e7e1f35d	k__Bacteria
ASV_0024	d52ba026d56efc5993f439f8b67c9925	k__Bacteria
ASV_0025	14ce858f8baf3c6a5b0e6136681d63f0	k__Bacteria
ASV_0026	6fa1b152d31458365c2158ab5b1ddfad	k__Bacteria
ASV_0027	323eaa28a3262ef24742d1d11174be12	k__Bacteria
ASV_0028	4dd48dbda941c7ce34d1815b01188323	k__Bacteria
ASV_0029	72ea19a470c189e5df9710b07134bff3	k__Bacteria
ASV_0030	561ef526a0416e08761eb304aefa7ce3	k__Bacteria
ASV_0031	12314b4675fe019069ba7cbbfbdf95ca	k__Bacteria
ASV_0032	5f0011adcddfe75a9507730b5723fdbe	k__Bacteria
ASV_0033	a778747a02cae387c025a3f675b2353c	k__Bacteria
ASV_0034	c548843b7d17d31cd748310077fc14b8	k__Bacteria
ASV_0035	abebb952b64e291ccfbc52c9af5e9437	k__Bacteria
ASV_0036	18514dbf27ebfa55f1bd0d5f11086472	k__Bacteria
ASV_0037	9838c31780db20022a9db022c9d174bb	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0038	594d8b8200d3ec7204f0d4b9d60db60c	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0039	35ec4be338bfd43e5f982166dc450d0b	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0040	7f6a681cc22d6f6d2eb54204d75f8338	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0041	b35a8de45cbbc80b5c8215f4d05bc522	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0042	d50a89e084aecce9273b8d44a857851f	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0043	f8317111f710f79392f55ee75d77ae43	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0044	bb68d101ac8efd11500a8350bfb71c97	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0045	8a50ee5b9c6c3dcef212e7ace14678d1	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0046	f2d3e0d01ab8694bb03a5195929b8de6	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0047	5e0aaac8e9188883f64bc98eb605c73c	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0048	70ec108bedcfc1c16e83a750635269cd	k__Bacteria; p__; c__; o__; f__; g__; s__
ASV_0049	258099d9ec19ac328aee122647fd49e5	k__Bacteria; p__; c__; o__; f__; g__; s__
